City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
671,Kutum,SD,72.32,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
672,Le Vauclin,MQ,82.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
673,Minbu,MM,70.34,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
676,Tulagi,SB,82.15,moderate rain,-9.0996,160.1476,Raiders Hotel & Dive
684,Mancora,PE,78.55,overcast clouds,-4.1078,-81.0475,Máncora Marina Hotel
688,Fare,PF,80.67,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
693,Bosaso,SO,75.4,overcast clouds,11.2842,49.1816,Red Sea Hotel
696,Limbang,MY,78.91,heavy intensity rain,4.75,115.0,Purnama Hotel
698,Tiquicheo,MX,79.95,clear sky,18.8833,-100.7333,Hotel Alcatraz
701,Nampula,MZ,71.83,moderate rain,-15.1165,39.2666,BUTIK Hotel
