City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
209,Biak,-0.9131,122.8766,76.5,84,42,2.89,ID,scattered clouds
210,Half Moon Bay,37.4636,-122.4286,61.45,66,0,11.5,US,clear sky
211,Grand-Santi,4.25,-54.3833,83.8,70,93,4.05,GF,overcast clouds
212,Tevaitoa,-16.7833,-151.5,80.82,75,66,12.19,PF,light rain
213,Nabinagar,23.8917,90.9733,66.27,73,64,5.53,BD,broken clouds
214,Linxia,35.6003,103.2064,23.5,96,100,2.77,CN,light snow
215,Pinega,64.7001,43.3936,24.46,91,100,11.83,RU,overcast clouds
216,Cidreira,-30.1811,-50.2056,76.44,70,0,15.12,BR,clear sky
217,Maceio,-9.6658,-35.7353,90.84,51,40,12.66,BR,scattered clouds
218,Port Elizabeth,-33.918,25.5701,71.89,78,40,16.11,ZA,scattered clouds
219,Saint-Louis,16.3333,-15.0,96.44,5,65,17.81,SN,broken clouds
220,Harper,4.375,-7.7169,83.86,72,42,10.8,LR,scattered clouds
221,Santa Marta,11.2408,-74.199,89.65,62,20,5.75,CO,few clouds
222,Dakoro,14.5106,6.765,87.4,4,4,15.46,NE,clear sky
223,Baykit,61.67,96.37,-15.97,98,15,3.24,RU,few clouds
224,Basse,52.5518,9.5069,46.2,84,75,10.36,DE,broken clouds
225,Rio Gallegos,-51.6226,-69.2181,53.65,40,75,36.82,AR,broken clouds
226,Carlibaba,47.5833,25.1333,30.9,98,68,4.72,RO,broken clouds
227,Sioux Lookout,50.1001,-91.917,8.98,85,100,9.22,CA,overcast clouds
228,Guacui,-20.7756,-41.6794,72.88,89,99,3.69,BR,overcast clouds
229,Sistranda,63.7256,8.834,33.76,91,100,24.9,NO,light snow
230,Saint-Joseph,-21.3667,55.6167,77.38,80,27,6.33,RE,scattered clouds
231,Sangar,63.9242,127.4739,-38.65,100,66,2.62,RU,broken clouds
232,Qandala,11.472,49.8728,74.52,65,69,12.73,SO,broken clouds
233,Simao,22.7886,100.9748,52.38,42,0,1.1,CN,clear sky
234,Ormara,25.2088,64.6357,71.31,60,0,9.44,PK,clear sky
235,Ambilobe,-13.2,49.05,75.18,94,99,5.95,MG,moderate rain
236,Zhuhai,22.2769,113.5678,64.98,88,40,6.91,CN,scattered clouds
237,Esperance,-33.8667,121.9,73.24,56,73,23.64,AU,broken clouds
238,Okhotsk,59.3833,143.3,5.67,89,100,5.3,RU,overcast clouds
239,Zhangye,38.9342,100.4517,24.26,42,92,1.68,CN,overcast clouds
240,Mahajanga,-15.7167,46.3167,82.42,83,40,11.5,MG,scattered clouds
241,Bubaque,11.2833,-15.8333,79.74,65,2,12.73,GW,clear sky
242,Kidal,18.4411,1.4078,85.98,4,1,4.94,ML,clear sky
243,Constitucion,-35.3333,-72.4167,68.0,62,70,6.91,CL,broken clouds
244,Husavik,66.0449,-17.3389,20.39,81,79,12.66,IS,broken clouds
245,Aksha,50.2814,113.2867,-2.34,90,97,3.89,RU,overcast clouds
246,Nisia Floresta,-6.0911,-35.2086,90.41,43,71,11.65,BR,broken clouds
